elements,imageUrlPath,studioEmail,styles,name
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/01/80-1.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",2A SESION OLAS
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/01/81-1.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",COBRA
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/01/83.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",FLORES
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/01/86-1.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",FLORES
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/01/93.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",DRAGON
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/01/96.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",ASTRONAUTA SNAKE
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/01/58.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",MANO DE FATIMA
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/01/31.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",LEON GEOMETRIA
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/01/27.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",PULPO ILLUMINATI (CICATRIZ)
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/01/23.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",COVER UP
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/01/16.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",PENCA
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/01/7.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",OCTOPUS SKULL
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/01/1.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",LOVECRAFT
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/01/42.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",CAMARA DE FOTOS TRASH POLKA
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/01/34.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",ARBOL DE LA VIDA
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/01/30.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",FLOR
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/01/29.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",1A SESION CALAVERAS Y ROSAS
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/01/33.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",DIABLA
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/01/10-1.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",2 FLORES
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/01/12.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",DRAGON
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/01/28.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",ELEFANTE
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/01/26.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",MOON
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/01/17.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",HALCON
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/01/22.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",1A SESION BUHO
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/01/9.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",LEON
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/01/8.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",COVER UP
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/01/2.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",BLUE ROSE
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/01/52.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",WOLF
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/01/54.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",BIRD
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/01/55.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",BRUJULA
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/01/57.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",ROSA
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/01/62.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",BUCEAR
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/01/68.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",COLOR Y CABELLO
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/01/73.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",SRITA COMETA
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/01/78.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",DRAGON HEAD
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/01/79-1.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",1A SESION CALAVERAS Y ROSAS
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/01/80.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",BINARIO TRASH POLKA
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/01/81.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",BRÚJULA ALADA
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2016/10/40.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",OLD SCHOOL DESIGN
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2016/10/39.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",FLOWERS
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2016/10/37.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",LIFE INK
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2016/10/36.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",SKULL AND ROSE
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2016/10/35.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",SANTA MUERTE
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2016/10/34.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",CORONA
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2016/10/33.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",FUCHO
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2016/10/32.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",LADIES
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2016/10/30.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",COLOR PARA ROSAS
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2016/10/29.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",ANCLA
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2016/10/28.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",SANOS
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2016/10/27.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",CHEF
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2016/10/26.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",SKULL AND ROSES
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2016/10/23.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",LETTERS
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2016/10/22.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",ALLAN POE
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2016/10/20.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",MACHO CABRÍO
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2016/10/19.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",FLORES DE LOTO
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2016/10/18.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",1a SESION TRIBAL
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2016/10/17.jpg,traza893@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",MANO DE FATIMA
